timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
663.170,27.344,31.738,60.547,54.199,-42.480,0
663.174,11.719,47.852,31.738,14.648,-10.254,0
663.178,27.832,19.043,18.555,-20.996,4.883,0
663.182,37.109,20.020,45.410,1.953,-20.996,0
663.186,67.383,27.344,57.129,57.129,-23.926,0
663.190,112.793,41.504,43.945,54.199,32.227,0
663.194,4.883,53.711,49.805,-18.066,13.184,0
663.198,-7.812,20.996,50.293,-22.461,-37.109,0
663.202,55.664,52.734,35.156,42.480,2.441,0
663.205,70.801,70.312,46.387,62.988,50.293,0
663.209,62.012,29.785,56.641,11.719,31.250,0
663.213,41.504,40.527,57.617,-29.785,-32.715,0
663.217,15.137,41.504,57.617,-26.367,-67.383,0
663.221,60.059,20.508,54.688,30.762,10.742,0
663.225,70.312,46.875,52.734,44.434,96.680,0
663.229,-6.348,61.035,41.504,4.883,92.773,0
663.233,3.418,50.293,25.879,15.625,47.852,0
663.237,41.504,41.992,22.949,51.758,33.203,0
663.241,51.758,46.387,33.691,28.320,65.430,0
663.245,31.738,57.617,50.293,-1.465,41.504,0
663.248,36.133,55.176,45.410,34.668,-50.293,0
663.252,63.965,62.012,24.414,55.176,-24.414,0
663.256,35.156,74.707,21.973,46.387,39.551,0
663.260,-11.230,72.754,36.621,-11.230,-30.273,0
663.264,11.719,64.941,39.062,-36.133,-12.695,0
663.268,56.641,70.312,33.203,6.836,31.250,0
663.272,48.340,68.359,35.645,36.621,20.020,0
663.276,5.859,63.965,34.180,-2.441,4.883,0
663.280,16.113,72.266,20.508,-41.016,-19.043,0
663.284,31.738,70.801,23.438,-6.836,-15.137,0
663.288,39.062,66.406,40.039,46.387,-14.648,0
663.291,3.906,62.988,52.734,8.301,41.992,0
663.295,-36.133,66.895,51.758,-63.477,13.672,0
663.299,14.160,75.684,34.180,-52.246,-58.594,0
663.303,67.383,74.707,20.996,20.996,23.926,0
663.307,50.781,74.707,25.391,31.250,52.246,0
663.311,4.395,79.102,34.668,-8.789,-5.371,0
663.315,28.809,82.031,37.109,-10.742,-15.137,0
663.319,72.754,80.078,42.969,18.066,-3.418,0
663.323,32.227,70.312,55.664,52.246,43.457,0
663.327,-8.301,70.801,68.359,15.137,-48.340,0
663.330,-17.578,77.637,54.688,-11.719,-61.523,0
663.334,5.371,77.637,40.039,15.137,49.316,0
663.338,30.273,59.570,41.016,44.922,53.223,0
663.342,3.906,49.805,35.645,-9.277,64.941,0
663.346,8.789,66.406,27.344,-37.109,44.922,0
663.350,16.113,73.730,19.531,18.066,-8.301,0
663.354,11.719,67.871,25.391,62.012,32.715,0
663.358,26.855,67.383,51.758,20.996,83.984,0
663.362,32.227,68.359,61.523,-38.574,60.059,0
663.366,21.484,72.266,56.641,-1.465,5.859,0
663.370,24.902,70.801,56.641,69.336,17.578,0
663.373,29.297,77.148,52.246,68.359,72.754,0
663.377,0.488,78.125,41.992,-5.371,69.824,0
663.381,9.277,68.359,32.227,-13.672,-13.672,0
663.385,48.828,71.289,39.062,27.344,-14.160,0
663.389,51.758,63.965,56.641,39.551,43.457,0
663.393,0.977,59.082,61.523,-0.488,42.969,0
663.397,-17.578,69.336,56.152,-34.180,17.090,0
663.401,16.602,69.336,43.457,7.812,-25.879,0
663.405,40.527,68.359,28.809,68.848,67.871,0
663.409,26.855,63.965,24.414,32.227,89.844,0
663.413,8.301,62.012,25.391,-40.527,-35.645,0
663.416,15.625,67.383,38.574,-23.438,-67.871,0
663.420,42.480,66.406,48.340,33.691,10.254,0
663.424,39.551,69.824,61.035,23.438,39.551,0
663.428,20.996,67.871,67.871,-41.504,17.090,0
663.432,-4.395,59.570,52.734,-46.387,59.082,0
663.436,-7.812,51.270,34.668,5.859,90.820,0
663.440,19.043,57.129,26.855,53.711,35.645,0
663.444,4.883,75.195,39.551,13.672,-12.207,0
663.448,-2.441,76.172,40.039,-21.484,3.906,0
663.452,25.879,61.035,24.414,37.598,17.090,0
663.455,50.781,52.734,35.156,59.570,34.668,0
663.459,-8.301,54.688,41.504,-26.367,-27.344,0
663.463,-24.414,58.594,35.645,-69.336,-55.176,0
663.467,65.918,62.012,28.809,-22.461,-18.555,0
663.471,99.121,60.059,28.809,33.691,4.883,0
663.475,29.297,60.059,42.480,19.531,29.297,0
663.479,-50.781,64.941,47.363,-18.066,21.484,0
663.483,-41.504,56.641,49.805,-5.859,31.250,0
663.487,22.949,48.340,48.340,55.664,27.344,0
663.491,42.480,70.801,31.738,75.195,12.695,0
663.495,23.438,74.219,26.367,2.930,36.621,0
663.498,4.395,59.570,40.039,-33.691,26.367,0
663.502,26.855,62.988,55.176,15.137,59.082,0
663.506,80.078,67.871,59.570,53.223,120.117,0
663.510,19.043,64.453,58.105,9.277,58.594,0
663.514,-48.340,61.035,43.457,-4.883,-30.273,0
663.518,6.836,67.871,32.227,36.133,-34.668,0
663.522,59.570,68.359,48.828,77.148,42.969,0
663.526,14.160,57.617,57.129,23.926,32.227,0
663.530,-28.809,56.641,55.664,-38.574,3.418,0
663.534,-10.742,58.594,42.969,0.488,12.695,0
663.538,43.457,67.383,30.273,50.781,43.457,0
663.541,84.961,72.754,35.645,57.617,50.293,0
663.545,27.832,62.988,46.387,17.090,69.824,0
663.549,-44.922,53.223,38.086,0.488,72.754,0
663.553,-16.602,52.734,39.062,44.922,62.500,0
663.557,-6.348,54.688,61.523,24.902,59.082,0
663.561,-16.602,60.059,47.852,-42.969,-34.668,0
663.565,6.836,71.777,40.039,-32.227,-8.301,0
663.569,17.090,70.312,49.805,14.160,77.148,0
663.573,17.578,66.406,53.223,23.926,117.676,0
663.577,-6.348,68.848,54.688,-24.414,92.773,0
663.580,-13.672,70.312,49.316,-41.992,17.090,0
663.584,41.016,75.684,31.738,22.461,-39.062,0
663.588,85.449,76.660,33.203,82.520,-37.109,0
663.592,45.898,63.965,45.898,27.832,-12.207,0
663.596,1.953,54.199,41.504,-26.855,-31.738,0
663.600,-9.766,58.105,52.246,9.277,-51.758,0
663.604,3.418,58.105,63.477,42.480,-44.922,0
663.608,13.672,53.711,57.129,0.977,-54.199,0
663.612,-19.531,62.012,51.758,-53.223,-6.836,0
663.616,-22.949,65.918,45.410,-37.109,1.465,0
663.620,41.016,61.523,42.480,19.531,-30.762,0
663.623,76.172,58.105,44.434,26.367,-0.488,0
663.627,21.484,57.617,39.551,-15.137,-36.621,0
663.631,-2.930,64.453,37.598,-7.812,-85.449,0
663.635,35.645,68.359,38.574,30.273,-83.984,0
663.639,49.316,73.242,33.691,56.152,5.371,0
663.643,6.836,72.754,39.551,10.254,-38.086,0
663.647,-16.602,68.359,47.363,-27.832,-60.059,0
663.651,10.742,55.176,41.016,-8.301,-24.902,0
663.655,36.133,52.246,37.598,23.438,-27.832,0
663.659,14.648,52.734,41.016,-6.348,-29.785,0
663.663,-21.973,53.711,50.781,-46.875,-60.059,0
663.666,-15.137,59.570,57.617,-0.488,-66.895,0
663.670,41.504,58.594,48.340,57.129,-7.812,0
663.674,60.059,56.152,47.852,57.129,11.719,2
663.678,-17.090,56.641,61.523,27.832,0.000,0
663.682,-13.672,55.176,59.082,53.223,33.691,0
663.686,44.434,64.941,48.828,104.004,56.152,0
663.690,29.785,69.824,43.945,98.145,72.266,0
663.694,-9.766,62.012,38.574,17.090,40.527,0
663.698,-22.461,62.500,38.574,-0.488,36.133,0
663.702,25.391,57.129,38.574,60.547,84.473,0
663.705,28.809,55.176,37.109,77.148,87.891,0
663.709,-17.090,61.035,44.434,24.414,59.082,0
663.713,-4.395,62.012,54.199,-0.488,54.199,0
663.717,13.672,56.641,53.711,14.160,41.992,0
663.721,37.598,48.828,48.828,49.316,29.785,0
663.725,11.230,50.293,46.875,49.805,35.156,0
663.729,-20.508,53.711,41.504,16.602,57.617,0
663.733,26.855,51.758,38.574,32.227,54.688,0
663.737,45.898,56.641,43.457,64.941,33.691,0
663.741,-7.324,61.523,50.293,55.664,23.438,0
663.745,-39.551,54.688,25.391,-17.578,13.672,0
663.748,11.230,48.828,24.902,-18.066,81.543,0
663.752,48.340,52.246,43.945,52.246,53.711,0
663.756,35.645,55.176,48.340,64.941,25.391,0
663.760,8.301,49.805,62.500,12.207,86.426,0
663.764,-0.977,41.992,56.641,-1.953,34.180,0
663.768,29.297,43.457,44.922,37.109,-15.137,0
663.772,66.895,54.199,50.781,43.457,65.430,0
663.776,49.316,62.500,57.617,22.949,69.336,0
663.780,0.488,65.918,51.270,29.297,-20.020,0
663.784,1.465,62.012,35.156,42.480,-11.230,0
663.788,30.273,48.340,20.996,44.922,93.750,0
663.791,17.578,47.363,30.762,-8.301,102.539,0
663.795,-11.230,52.246,42.480,-39.062,63.965,0
663.799,18.555,51.270,50.781,-6.348,31.738,0
663.803,64.453,52.246,48.828,35.156,18.555,0
663.807,41.504,53.711,41.504,38.086,76.660,0
663.811,-10.254,54.199,35.645,-1.953,-5.371,0
663.815,-34.668,51.270,25.391,-1.953,-38.574,0
663.819,7.324,55.176,35.156,20.508,57.129,0
663.823,48.828,60.059,46.875,35.645,55.664,0
663.827,14.648,55.664,33.203,15.625,49.316,0
663.830,10.742,55.176,30.273,20.508,62.012,0
663.834,28.809,57.617,38.086,24.414,77.148,0
663.838,34.180,51.758,37.598,23.926,80.566,0
663.842,-3.418,52.246,48.828,-5.371,22.949,0
663.846,9.766,52.734,55.176,-36.621,1.953,0
663.850,45.410,44.922,48.340,3.418,40.039,0
663.854,43.457,42.969,44.434,37.598,52.246,0
663.858,30.762,48.340,43.945,20.020,50.781,0
663.862,-15.137,53.711,45.410,0.977,4.395,0
663.866,-17.090,60.059,40.039,6.348,36.621,0
663.870,17.090,50.293,23.926,31.250,87.891,0
663.873,37.109,49.805,37.598,57.129,87.402,0
663.877,-3.418,63.965,32.227,0.488,61.035,0
663.881,3.906,61.523,27.832,-12.207,8.301,0
663.885,32.715,50.293,50.781,36.133,58.105,0
663.889,21.973,40.527,50.781,40.527,98.145,0
663.893,-1.953,41.504,43.945,0.488,42.480,0
663.897,-8.789,45.898,40.527,-23.438,4.883,0
663.901,40.527,48.340,41.992,6.348,50.781,0
663.905,46.875,50.293,42.480,56.152,82.031,0
663.909,-6.836,52.734,41.016,35.645,30.762,0
663.913,-25.879,52.734,46.387,-5.859,9.277,0
663.916,27.832,51.758,37.109,12.695,38.574,0
663.920,63.965,49.805,11.719,36.133,75.684,0
663.924,25.879,47.852,26.367,-0.488,86.426,0
663.928,-15.137,44.922,54.199,-55.176,64.453,0
663.932,-21.484,41.016,57.129,-22.949,-3.906,0
663.936,29.785,45.410,58.105,35.645,-24.414,0
663.940,53.223,46.387,45.410,48.340,106.445,0
663.944,-1.953,44.922,36.621,9.277,63.477,0
663.948,6.836,47.852,49.316,-20.020,-15.625,0
663.952,28.320,51.270,52.734,-6.348,68.359,0
663.955,28.320,58.105,54.688,40.039,100.098,0
663.959,5.859,57.129,49.805,6.836,67.871,0
663.963,-33.203,48.828,39.062,-12.695,4.883,0
663.967,6.836,41.504,31.250,61.035,-0.488,0
663.971,34.180,38.086,31.250,79.590,62.500,0
663.975,3.418,47.363,29.785,13.672,9.277,0
663.979,-10.742,44.922,25.879,-27.832,-49.316,0
663.983,-3.418,45.898,32.227,-2.441,25.391,0
663.987,43.457,54.688,40.039,37.109,83.984,0
663.991,32.227,47.363,42.480,41.992,64.941,0
663.995,-39.062,45.410,46.387,-7.812,-21.484,0
663.998,-36.133,47.852,40.039,-20.996,1.465,0
664.002,4.883,45.898,33.691,54.688,40.039,0
664.006,31.250,44.922,36.133,69.336,36.133,0
664.010,14.160,45.898,47.363,-12.695,4.395,0
664.014,-25.879,43.945,38.574,-43.457,3.418,0
664.018,-8.789,40.527,23.438,-2.930,2.930,0
664.022,25.879,48.340,30.273,41.016,31.738,0
664.026,6.836,56.152,32.227,11.230,69.336,0
664.030,-30.762,48.340,47.363,-12.695,14.160,0
664.034,-0.488,56.152,48.828,40.527,39.062,0
664.038,53.711,65.918,39.062,75.684,110.840,0
664.041,35.156,54.199,33.203,47.852,95.703,0
664.045,-18.066,41.016,31.250,-6.836,3.906,0
664.049,-11.719,38.086,47.852,-19.043,-4.395,0
664.053,26.855,37.109,50.781,60.547,99.609,0
664.057,28.809,39.551,51.270,74.219,111.328,0
664.061,-27.344,43.945,53.711,-31.738,100.098,0
664.065,-28.809,38.574,49.316,-38.574,75.684,0
664.069,15.625,38.086,49.316,31.250,14.160,0
664.073,25.391,43.457,39.551,41.992,72.266,0
664.077,-2.930,48.340,27.344,-19.531,9.277,0
664.080,-21.973,41.016,33.691,-12.695,-2.930,0
664.084,-4.883,33.691,44.434,21.973,67.871,0
664.088,28.320,33.203,39.551,39.551,37.109,0
664.092,5.371,38.086,35.156,11.230,20.996,0
664.096,-12.695,46.387,33.203,-14.648,17.090,0
664.100,12.695,53.711,35.645,3.418,-4.883,0
664.104,34.180,50.293,30.273,38.574,18.066,0
664.108,12.207,46.875,28.809,15.625,26.367,0
664.112,-7.812,45.410,49.316,-26.367,46.387,0
664.116,14.160,44.434,52.246,0.488,18.066,0
664.120,23.926,40.527,40.527,27.344,22.461,0
664.123,8.301,36.133,20.020,31.250,56.641,0
664.127,-27.344,45.898,11.719,-0.977,9.766,0
664.131,-30.273,49.316,35.156,-4.395,-12.207,0
664.135,19.043,43.457,56.152,35.156,5.371,0
664.139,60.547,45.410,60.059,70.801,61.523,0
664.143,18.555,46.387,45.410,41.504,5.371,0
664.147,-5.859,45.898,33.203,6.348,-11.719,0
664.151,15.137,46.387,34.668,6.348,15.625,0
664.155,19.043,43.457,37.109,43.945,6.836,0
664.159,0.488,49.805,46.387,20.996,48.340,0
664.163,-6.348,45.898,48.340,-27.344,32.227,0
664.166,13.184,38.574,46.387,3.906,22.949,0
664.170,35.156,47.852,44.922,44.434,39.062,0
664.174,1.465,43.945,40.039,13.672,59.082,0
664.178,-31.738,43.945,37.598,-45.898,12.695,0
664.182,-0.977,52.734,30.762,-24.414,-12.207,0
664.186,57.617,48.828,27.832,50.781,63.477,0
664.190,59.570,47.363,33.691,88.867,47.363,0
664.194,20.508,55.176,40.039,23.438,40.039,0
664.198,-14.648,45.898,29.297,-38.086,44.434,0
664.202,-31.250,35.156,25.391,-1.953,19.531,0
664.205,5.859,39.551,35.156,30.762,60.547,0
664.209,5.859,42.969,40.039,-4.883,40.039,0
664.213,-1.953,49.316,25.879,-20.996,21.973,0
664.217,2.441,52.734,13.184,34.668,28.320,0
664.221,35.645,47.363,25.391,84.473,39.551,0
664.225,7.812,40.039,20.020,19.043,60.059,0
664.229,-20.020,34.668,35.645,-50.293,15.625,2
664.233,-1.953,40.527,62.500,-9.766,-21.484,0
664.237,35.156,43.457,60.059,36.621,47.852,0
664.241,12.695,41.504,43.457,10.742,88.379,0
664.245,-54.199,49.316,34.180,-22.949,21.484,0
664.248,-17.578,45.410,40.527,-1.953,-29.297,0
664.252,29.297,28.320,31.250,22.949,-18.555,0
664.256,29.297,29.297,20.996,22.461,77.148,0
664.260,-20.508,35.156,34.668,-11.719,38.086,0
664.264,-24.414,31.250,41.504,-8.301,-13.672,0
664.268,20.508,34.180,35.156,37.598,43.457,0
