timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
11964.893,23.926,38.574,27.832,26.367,-28.320,0
11964.897,3.906,41.504,31.738,29.785,-374.023,0
11964.901,30.273,41.016,27.344,30.273,-7.812,0
11964.905,61.035,40.039,24.414,28.320,449.219,0
11964.909,41.992,40.039,28.809,30.273,146.484,0
11964.912,6.836,43.945,34.180,35.645,-350.586,0
11964.916,18.555,42.480,38.086,40.039,-156.250,0
11964.920,57.617,34.180,33.203,33.203,362.793,0
11964.924,50.781,34.180,33.203,26.855,283.691,0
11964.928,6.836,38.574,36.133,35.645,-279.297,0
11964.932,8.301,38.086,33.691,40.527,-277.344,0
11964.936,48.340,32.227,25.391,29.785,228.516,0
11964.940,57.617,34.180,26.855,28.320,391.602,0
11964.944,14.160,37.598,37.109,35.645,-146.484,0
11964.948,-4.883,35.645,38.086,35.645,-355.957,0
11964.951,24.414,36.133,31.250,35.156,90.332,0
11964.955,49.316,33.203,28.320,29.297,444.824,0
11964.959,23.926,34.668,34.668,30.273,12.695,0
11964.963,-2.441,39.062,36.133,31.250,-383.789,0
11964.967,24.414,38.086,30.273,24.902,-58.105,0
11964.971,58.105,35.156,23.438,17.578,424.316,0
11964.975,29.297,35.645,26.855,15.625,174.805,0
11964.979,-9.277,38.086,31.738,20.508,-351.562,0
11964.983,10.742,37.109,29.297,21.484,-202.637,0
11964.987,50.781,31.250,24.414,21.973,328.125,0
11964.991,48.340,29.785,24.414,22.461,315.430,0
11964.994,11.719,34.668,35.156,26.367,-246.094,0
11964.998,6.836,33.691,35.645,32.227,-292.969,0
11965.002,39.062,29.297,29.785,35.645,214.355,0
11965.006,53.711,28.320,28.320,37.109,437.012,0
11965.010,17.578,30.762,33.691,37.598,-89.355,0
11965.014,-2.441,34.180,39.062,35.156,-354.980,0
11965.018,30.273,30.762,32.715,32.715,57.129,0
11965.022,59.570,26.855,30.762,33.203,451.172,0
11965.026,32.227,33.691,40.039,36.621,76.660,0
11965.030,2.441,36.621,40.527,38.086,-354.004,0
