timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
9499.944,30.273,45.410,34.180,22.461,41.992,0
9499.948,31.738,45.898,37.598,20.508,57.129,0
9499.952,37.109,43.945,38.574,28.320,70.801,0
9499.956,37.109,44.434,38.574,28.809,62.988,0
9499.960,30.273,44.434,36.621,26.367,48.828,0
9499.964,29.297,39.551,35.645,29.785,58.105,0
9499.967,30.273,40.527,36.621,27.832,58.594,0
9499.971,28.809,42.480,35.645,22.949,43.457,0
9499.975,28.809,41.992,35.645,22.949,29.785,0
9499.979,26.367,35.645,29.297,20.508,25.879,0
9499.983,28.320,29.785,21.484,18.066,35.156,0
9499.987,29.785,33.691,29.297,19.531,43.457,0
9499.991,24.414,35.645,33.203,22.949,29.297,0
9499.995,26.855,34.180,33.691,24.414,30.273,0
9499.999,34.180,35.645,37.109,26.855,55.176,0
9500.003,30.762,34.180,34.668,30.762,56.152,0
9500.007,27.344,31.738,33.203,30.762,28.809,0
9500.010,30.762,36.621,35.645,35.156,21.484,0
9500.014,32.715,37.598,39.062,34.180,33.691,0
9500.018,33.691,36.133,34.668,26.367,27.832,0
9500.022,34.668,40.039,33.203,29.785,20.020,0
9500.026,34.668,42.969,33.203,31.250,16.602,0
9500.030,37.109,42.480,37.109,34.668,29.297,0
9500.034,41.016,37.109,36.133,38.574,43.945,0
9500.038,41.016,37.598,31.738,33.691,35.645,0
9500.042,37.598,38.086,39.062,36.133,24.414,0
9500.046,34.180,36.621,40.527,36.133,40.039,0
9500.050,32.227,36.621,40.039,32.715,53.711,0
9500.053,33.203,37.109,45.410,34.668,49.805,0
9500.057,33.203,41.016,45.410,36.133,40.039,0
9500.061,32.227,40.039,36.621,33.203,33.691,0
9500.065,35.645,38.574,36.133,32.227,45.898,0
9500.069,34.180,40.039,43.457,32.227,57.129,0
9500.073,28.809,36.133,38.086,26.855,39.551,0
9500.077,24.414,30.762,29.785,25.391,23.926,0
9500.081,25.391,30.273,26.855,22.949,44.922,0
9500.085,27.344,30.762,29.297,21.973,65.918,0
9500.089,24.414,31.738,27.344,23.438,50.781,0
9500.092,25.879,30.762,22.461,23.926,27.832,0
9500.096,25.879,31.738,23.926,26.855,37.598,0
9500.100,24.902,30.273,27.832,28.320,53.223,0
9500.104,27.344,34.668,31.738,32.715,55.664,0
9500.108,26.367,40.527,31.250,27.832,41.504,0
9500.112,22.949,36.621,21.973,20.020,38.086,0
9500.116,20.508,33.203,19.531,19.531,56.152,0
9500.120,18.066,32.227,20.996,19.043,57.129,0
9500.124,24.902,34.180,21.973,18.066,42.969,0
9500.128,28.320,36.133,22.461,18.066,41.992,0
9500.132,28.320,38.574,20.020,20.996,51.758,0
9500.135,40.039,44.922,24.414,26.367,54.688,0
9500.139,39.062,46.387,20.020,26.855,52.734,0
9500.143,25.391,42.480,18.555,24.902,43.945,0
9500.147,18.555,38.574,28.809,25.391,49.316,0
9500.151,15.625,33.691,32.227,26.367,60.059,0
9500.155,15.137,33.691,28.320,23.926,41.016,0
9500.159,14.160,37.109,25.879,25.879,20.996,0
9500.163,20.508,38.086,30.273,31.250,37.598,0
9500.167,24.902,36.621,27.344,26.855,50.781,0
9500.171,22.461,35.156,21.973,25.391,43.457,0
9500.175,26.855,39.062,23.438,25.879,33.203,0
9500.178,32.227,42.969,30.273,27.344,34.668,0
9500.182,35.156,41.992,32.227,29.785,49.316,0
9500.186,38.574,41.016,34.180,28.320,55.664,0
9500.190,37.598,41.504,40.039,28.809,49.805,0
9500.194,37.598,45.410,35.645,34.180,43.945,0
9500.198,43.945,52.734,29.785,36.133,54.199,0
9500.202,48.828,53.711,30.273,34.668,63.477,0
9500.206,45.898,53.223,27.832,31.250,49.805,0
9500.210,41.504,54.199,30.762,32.227,42.480,0
9500.214,40.527,50.781,34.668,31.738,56.152,0
9500.217,42.480,50.293,35.156,31.250,69.336,0
9500.221,46.875,46.875,35.645,31.250,68.848,0
9500.225,34.668,41.016,37.109,29.297,44.434,0
9500.229,31.250,39.062,36.621,24.902,32.227,0
9500.233,38.574,38.574,36.133,26.367,51.270,0
9500.237,32.715,37.598,39.062,30.762,54.688,0
9500.241,26.367,37.598,33.691,26.367,30.273,0
9500.245,30.273,41.504,33.691,31.738,27.832,0
9500.249,38.086,39.551,41.992,34.668,41.504,0
9500.253,39.062,38.574,40.039,35.156,49.805,0
9500.257,36.133,45.410,37.109,34.180,52.734,0
9500.260,30.762,46.387,35.645,21.484,36.133,0
9500.264,35.645,47.852,31.738,26.855,36.621,0
9500.268,40.039,47.852,30.762,29.297,44.434,0
9500.272,33.203,44.922,27.832,20.508,29.785,0
9500.276,32.715,45.410,30.762,24.902,21.973,0
