timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1553635088.596,29.785,30.273,28.809,124.023,22.461,0
1553635088.600,32.227,31.250,28.809,125.977,-8.789,0
1553635088.604,34.668,33.691,29.785,131.348,33.203,0
1553635088.608,27.344,32.715,29.297,125.488,56.641,0
1553635088.612,20.020,34.180,26.367,124.023,49.805,0
1553635088.615,15.625,36.621,25.391,124.512,19.531,0
1553635088.619,9.766,37.598,27.344,118.652,71.289,0
1553635088.623,15.625,37.109,27.344,113.770,140.137,0
1553635088.627,18.555,36.133,29.297,106.445,50.293,0
1553635088.631,17.090,39.551,27.344,102.539,9.277,0
1553635088.635,16.602,38.574,23.438,105.469,103.516,0
1553635088.639,22.461,36.133,26.855,116.699,69.824,0
1553635088.643,24.902,38.086,27.832,115.723,-11.230,0
1553635088.647,15.625,40.039,25.879,107.422,35.645,0
1553635088.651,25.391,36.621,27.344,112.305,71.289,0
1553635088.655,28.320,34.668,25.879,110.840,44.922,0
1553635088.658,23.438,33.203,24.902,106.934,42.969,0
1553635088.662,30.273,31.250,27.832,114.258,69.824,0
1553635088.666,28.320,35.156,29.785,115.234,100.586,0
1553635088.670,20.508,33.203,29.785,114.258,118.164,0
1553635088.674,25.391,32.715,29.297,110.840,75.684,0
1553635088.678,24.414,36.133,28.320,109.863,5.859,0
1553635088.682,24.902,34.180,29.785,110.352,-13.672,0
1553635088.686,24.902,34.180,29.785,102.051,-5.371,0
1553635088.690,20.508,35.645,27.832,93.262,57.129,0
1553635088.694,26.855,35.645,30.273,93.750,86.426,0
1553635088.697,17.578,34.180,30.273,90.332,61.035,0
1553635088.701,13.672,30.762,27.832,85.938,38.086,0
1553635088.705,18.066,32.227,29.297,93.262,58.105,0
1553635088.709,22.949,33.691,31.250,94.727,79.102,0
1553635088.713,20.996,31.738,33.203,87.402,38.086,0
1553635088.717,10.254,32.227,33.203,81.543,73.730,0
1553635088.721,17.090,35.156,32.715,89.844,50.293,0
1553635088.725,15.137,34.180,32.227,91.309,-5.371,0
1553635088.729,13.672,31.738,28.809,88.379,7.324,0
1553635088.733,20.020,31.250,29.297,97.168,36.621,0
1553635088.737,18.066,31.738,31.738,95.703,49.316,0
1553635088.740,28.809,34.180,31.250,91.797,16.602,0
1553635088.744,32.227,37.598,27.832,88.867,7.812,0
1553635088.748,25.391,38.574,26.855,91.797,25.879,0
1553635088.752,26.367,36.621,27.344,99.121,23.438,0
1553635088.756,28.320,35.645,26.855,100.586,2.930,0
1553635088.760,34.180,35.645,31.738,107.422,17.090,0
1553635088.764,35.156,35.645,35.156,102.051,4.883,0
1553635088.768,34.180,35.645,29.785,101.562,-22.949,0
1553635088.772,35.156,34.180,28.809,107.422,-30.762,0
1553635088.776,36.621,35.156,29.297,96.680,0.488,0
1553635088.780,36.133,37.598,28.809,93.750,39.551,0
1553635088.783,26.367,37.109,28.320,88.867,54.199,0
1553635088.787,32.227,36.621,26.367,87.402,41.992,0
1553635088.791,35.645,34.668,26.855,94.727,62.500,0
1553635088.795,24.902,35.156,27.344,86.426,65.430,0
1553635088.799,22.949,38.086,26.367,79.590,50.781,0
1553635088.803,22.949,36.621,25.879,83.496,56.641,0
1553635088.807,16.602,37.598,27.344,76.660,53.711,0
1553635088.811,14.160,37.598,28.320,74.219,67.383,0
1553635088.815,12.695,36.621,28.809,75.684,63.477,0
1553635088.819,15.625,35.645,28.809,73.242,49.805,0
1553635088.822,15.137,32.227,29.297,75.684,34.180,0
1553635088.826,17.090,36.133,25.391,74.707,55.664,0
1553635088.830,23.926,37.598,23.926,70.312,78.613,0
1553635088.834,20.996,36.133,25.391,70.312,28.320,0
1553635088.838,21.484,37.109,25.391,67.383,10.254,0
1553635088.842,27.344,37.109,25.879,67.871,-10.742,0
1553635088.846,20.996,36.133,24.414,68.848,58.105,0
1553635088.850,24.414,32.227,24.902,68.359,31.250,0
1553635088.854,28.320,33.691,26.855,79.102,-52.734,0
1553635088.858,21.484,36.133,27.832,74.707,-29.297,0
1553635088.862,21.973,35.156,27.344,68.848,41.504,0
1553635088.865,23.926,33.691,23.926,71.289,76.172,0
1553635088.869,27.832,34.668,25.879,70.312,66.406,0
1553635088.873,33.203,34.180,26.855,72.266,35.156,0
1553635088.877,25.879,33.691,25.879,72.266,-4.395,0
1553635088.881,15.625,33.691,25.879,65.918,30.273,0
1553635088.885,14.648,34.180,27.832,68.848,-17.578,0
1553635088.889,20.020,34.668,28.320,72.754,-0.488,0
1553635088.893,23.926,32.715,26.367,75.684,11.719,0
1553635088.897,18.555,32.715,27.832,75.684,-40.527,0
1553635088.901,28.809,31.250,28.809,64.941,36.133,0
1553635088.905,35.156,30.273,29.297,68.848,56.152,0
1553635088.908,22.461,34.180,28.809,71.777,7.324,0
1553635088.912,17.578,34.668,26.855,64.941,6.348,0
1553635088.916,22.461,37.598,27.832,64.453,-8.789,0
1553635088.920,24.902,38.086,31.250,70.312,39.551,0
1553635088.924,24.902,36.621,31.738,71.777,85.449,0
1553635088.928,21.973,36.621,27.832,75.195,17.578,0
1553635088.932,25.879,36.621,29.297,75.684,3.906,0
1553635088.936,28.809,38.574,29.297,67.871,64.453,0
1553635088.940,33.203,38.086,29.785,74.707,78.613,0
