timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
8783.095,19.531,11.719,28.320,18.066,-1000.000,0
8783.099,50.781,18.066,18.555,46.875,18.066,0
8783.103,44.434,18.066,14.648,73.242,-776.367,0
8783.107,18.066,21.973,17.090,41.504,104.004,0
8783.111,9.277,18.066,20.508,7.324,-1000.000,0
8783.115,34.180,15.625,27.344,36.133,-215.820,0
8783.119,43.457,20.508,26.367,60.547,-785.645,0
8783.123,12.207,14.648,20.508,32.227,275.879,0
8783.126,9.277,11.230,26.855,17.578,-1000.000,0
8783.130,37.598,10.742,29.785,34.180,-507.324,0
8783.134,46.875,13.672,17.578,61.523,-903.320,0
8783.138,23.926,16.113,16.602,63.965,565.430,0
8783.142,15.137,11.230,24.902,27.344,-961.426,0
8783.146,33.691,18.555,17.578,19.043,-1000.000,0
8783.150,55.664,26.855,13.672,49.805,423.828,0
8783.154,42.480,20.508,28.320,49.316,-908.203,0
8783.158,-12.207,18.555,24.414,22.949,-342.773,0
8783.162,5.371,23.926,23.438,13.672,-1000.000,0
8783.166,42.480,21.484,26.855,17.578,-113.770,0
8783.169,30.762,15.137,26.367,32.227,-790.527,0
8783.173,6.348,18.066,32.715,24.902,178.711,0
8783.177,7.812,35.156,19.043,6.348,-1000.000,0
8783.181,33.691,30.273,15.625,25.391,-256.836,0
8783.185,46.387,15.137,25.391,59.082,-795.410,0
8783.189,24.902,14.160,22.461,44.434,302.734,0
8783.193,-1.465,16.602,17.090,-0.977,-1000.000,0
8783.197,20.508,17.090,17.090,11.230,-653.809,0
8783.201,47.852,23.438,20.508,61.523,958.008,0
8783.205,25.879,25.391,18.555,51.758,710.449,0
8783.208,0.977,21.973,22.461,5.859,-837.402,0
8783.212,20.996,15.625,28.320,8.789,-1000.000,0
8783.216,50.781,13.184,33.203,40.527,245.117,0
8783.220,46.387,17.090,25.879,45.410,-836.426,0
8783.224,12.695,11.719,23.926,16.602,-185.547,0
8783.228,2.930,11.719,26.855,12.695,-1000.000,0
8783.232,33.203,21.484,31.250,42.969,-166.992,0
8783.236,50.293,18.555,29.297,51.270,-792.480,0
8783.240,10.742,15.625,24.902,23.438,237.305,0
8783.244,-3.906,20.996,27.344,-6.836,-1000.000,0
8783.248,28.809,23.438,22.949,3.906,-348.633,0
8783.251,63.965,20.508,9.277,44.434,-825.195,0
8783.255,28.320,20.996,13.672,33.203,366.699,0
8783.259,-22.461,32.715,23.926,11.719,-1000.000,0
8783.263,16.602,23.926,26.367,15.137,-814.941,0
8783.267,47.363,18.066,25.391,49.805,769.043,0
8783.271,34.180,27.344,25.391,56.152,809.082,0
8783.275,1.465,17.090,32.715,10.254,-736.816,0
8783.279,11.719,17.578,29.785,12.207,-1000.000,0
8783.283,60.059,31.250,21.484,44.434,68.359,0
8783.287,56.152,26.855,30.273,51.758,-806.641,0
8783.291,18.555,23.438,32.227,16.602,-54.199,0
8783.294,12.695,23.926,12.207,-3.418,-1000.000,0
8783.298,29.785,23.926,16.113,27.832,-199.707,0
8783.302,44.922,25.879,24.902,48.828,-794.434,0
8783.306,18.066,17.578,22.461,29.785,267.090,0
8783.310,4.395,8.301,19.043,-4.395,-1000.000,0
8783.314,24.902,13.184,23.926,8.789,-448.730,0
8783.318,36.621,15.137,31.250,51.758,-869.141,0
8783.322,31.738,13.184,23.926,45.898,469.238,0
8783.326,7.324,19.531,24.414,14.160,-1000.000,0
8783.330,17.090,24.902,28.809,14.160,-921.875,0
8783.333,59.570,31.250,25.391,46.387,578.125,0
8783.337,49.805,29.785,25.879,56.641,-997.070,0
8783.341,0.977,26.367,26.855,22.461,-492.188,0
8783.345,8.301,33.691,22.949,3.418,-1000.000,0
8783.349,69.824,34.180,19.531,33.203,-20.020,0
8783.353,61.035,24.902,19.043,40.039,-782.715,0
8783.357,7.324,23.438,19.043,9.766,113.281,0
8783.361,12.695,28.320,23.438,-7.812,-1000.000,0
8783.365,48.828,25.879,36.133,12.695,-215.820,0
8783.369,59.082,24.414,27.344,41.992,-785.645,0
8783.373,44.922,23.926,22.461,22.461,281.738,0
8783.376,28.320,23.438,33.691,3.418,-1000.000,0
8783.380,23.438,26.367,33.203,2.930,-530.762,0
8783.384,47.363,27.344,22.949,32.227,-926.270,0
8783.388,34.668,23.438,16.113,41.992,616.699,0
8783.392,4.883,25.391,21.973,-7.812,-925.293,0
8783.396,33.691,26.367,26.367,-14.160,-1000.000,0
8783.400,65.430,23.438,19.531,39.062,406.250,0
8783.404,35.156,14.648,26.367,55.176,-882.324,0
8783.408,-1.465,20.996,27.344,4.395,-293.945,0
8783.412,5.371,37.109,30.273,-13.184,-1000.000,0
8783.416,36.133,40.527,30.273,21.484,-123.047,0
8783.419,34.180,38.574,16.113,33.691,-787.109,0
8783.423,0.488,22.949,23.926,9.277,202.637,0
8783.427,-2.441,11.230,39.551,-17.090,-1000.000,0
8783.431,28.320,15.137,32.715,5.859,-266.602,0
8783.435,45.898,17.578,25.391,46.875,-795.898,0
8783.439,20.508,19.531,37.109,32.715,323.242,0
8783.443,4.395,15.625,33.203,3.906,-1000.000,0
8783.447,29.297,14.648,15.625,4.883,-661.133,0
8783.451,44.434,27.832,12.207,28.320,947.266,0
8783.455,13.184,35.645,24.902,29.297,748.047,0
8783.458,-14.648,31.250,30.762,-6.348,-793.457,0
8783.462,11.719,23.438,41.992,-7.812,-1000.000,0
8783.466,48.340,20.508,29.297,23.926,209.961,0
8783.470,37.598,18.555,9.766,44.434,-828.613,0
8783.474,-0.488,12.695,30.273,32.715,-159.668,0
8783.478,8.789,9.277,37.598,13.184,-1000.000,0
8783.482,41.992,12.695,33.203,27.344,-179.199,0
8783.486,44.922,25.391,35.645,46.387,-794.434,0
8783.490,5.371,27.832,23.926,11.719,244.629,0
8783.494,-14.160,24.902,15.625,-15.625,-1000.000,0
8783.498,30.273,32.227,24.414,14.160,-367.188,0
8783.501,62.500,29.297,28.320,47.363,-833.008,0
8783.505,25.391,22.461,20.508,34.180,382.812,0
8783.509,-7.324,16.113,23.438,5.371,-1000.000,0
8783.513,17.090,14.160,27.832,9.766,-826.660,0
8783.517,54.199,20.020,27.832,42.969,738.770,0
8783.521,33.203,21.484,32.715,50.293,867.188,0
8783.525,-2.441,23.438,23.926,20.996,-666.992,0
8783.529,-7.324,23.438,17.578,-0.977,-1000.000,0
8783.533,28.320,30.273,23.438,30.273,51.270,0
8783.537,36.133,30.273,24.414,55.176,-800.293,0
8783.541,8.789,20.996,20.508,28.320,-20.020,0
8783.544,16.113,19.531,21.484,12.695,-1000.000,0
8783.548,40.039,18.555,26.855,40.039,-202.637,0
8783.552,44.922,22.949,22.949,53.223,-793.457,0
8783.556,14.160,25.391,17.090,19.531,269.531,0
8783.560,1.953,21.484,22.461,0.000,-1000.000,0
8783.564,37.598,20.996,22.461,14.648,-480.957,0
8783.568,53.223,18.555,30.762,43.457,-883.789,0
8783.572,27.832,24.902,38.086,35.156,469.238,0
8783.576,-1.953,31.250,26.367,12.207,-1000.000,0
8783.580,12.207,27.832,4.883,13.184,-982.422,0
8783.583,57.129,30.762,20.508,43.945,486.328,0
8783.587,55.664,29.297,23.926,48.828,997.070,0
8783.591,13.184,24.902,17.578,16.602,-501.465,0
8783.595,18.066,21.973,30.762,9.766,-1000.000,0
8783.599,60.547,31.738,29.297,35.645,-70.801,0
8783.603,57.617,41.016,28.809,49.316,-797.363,0
8783.607,18.555,34.668,23.926,29.297,98.633,0
8783.611,1.953,23.438,20.996,9.766,-1000.000,0
8783.615,43.945,22.461,23.438,35.645,-230.469,0
8783.619,62.988,25.391,25.391,54.199,-794.434,0
8783.623,22.949,26.367,20.020,21.973,280.273,0
8783.626,12.695,23.926,12.695,0.977,-1000.000,0
8783.630,38.574,25.391,13.672,15.137,-583.984,0
8783.634,61.035,19.531,13.184,48.340,-969.727,0
8783.638,37.598,20.020,20.020,44.434,625.000,0
8783.642,8.789,29.785,33.691,15.137,-914.551,0
8783.646,24.902,29.785,31.738,24.902,-1000.000,0
8783.650,49.316,28.809,28.320,50.293,336.914,0
8783.654,47.363,26.855,22.461,45.410,-870.605,0
8783.658,16.602,22.949,17.578,19.043,-272.949,0
8783.662,11.230,21.484,17.090,10.742,-1000.000,0
8783.666,41.504,18.066,13.672,31.250,-143.555,0
8783.669,49.316,17.090,22.949,44.922,-792.480,0
8783.673,10.254,22.949,27.344,27.344,205.078,1
8783.677,-12.207,23.926,8.301,7.324,-1000.000,0
8783.681,20.996,23.926,17.090,26.367,-289.551,0
8783.685,51.270,27.344,24.902,50.293,-805.176,0
8783.689,20.996,21.484,26.367,42.969,332.520,0
8783.693,-7.324,16.602,22.461,10.254,-1000.000,0
8783.697,26.367,25.879,16.113,13.184,-719.238,0
8783.701,54.688,21.973,22.949,45.410,890.137,0
8783.705,18.555,17.578,22.949,44.922,748.535,0
8783.708,-12.695,20.996,10.742,11.719,-794.434,0
8783.712,6.348,13.184,8.301,6.836,-1000.000,0
8783.716,26.367,17.090,18.555,34.668,157.715,0
8783.720,24.902,28.809,20.996,45.898,-828.613,0
8783.724,-0.488,26.367,7.324,21.484,-147.461,0
8783.728,-9.766,24.902,20.996,-0.488,-1000.000,0
8783.732,36.133,16.113,37.109,25.879,-185.059,0
8783.736,48.340,15.137,27.344,53.223,-795.898,0
8783.740,4.395,22.461,27.344,34.180,253.418,0
8783.744,-4.883,27.832,20.996,4.395,-1000.000,0
8783.748,33.691,35.156,11.719,15.625,-399.902,0
8783.751,53.711,25.879,11.230,45.898,-845.703,0
8783.755,23.926,22.461,19.531,38.574,401.367,0
8783.759,4.883,19.531,32.715,7.324,-1000.000,0
8783.763,23.438,16.602,27.344,9.277,-883.301,0
8783.767,60.059,26.855,22.461,42.480,664.551,0
8783.771,47.852,28.320,20.996,44.434,876.465,0
8783.775,14.160,17.090,17.578,20.508,-658.203,0
8783.779,21.973,8.301,35.156,13.672,-1000.000,0
8783.783,45.410,16.602,34.180,34.668,2.441,0
8783.787,42.969,26.855,22.949,59.082,-808.594,0
8783.791,13.184,22.461,23.438,23.926,-14.648,0
8783.794,6.348,27.344,19.531,1.465,-1000.000,0
8783.798,38.086,35.645,14.648,26.855,-201.660,0
8783.802,49.805,38.086,22.461,51.758,-794.434,0
8783.806,10.254,33.203,23.926,45.898,270.508,0
8783.810,-2.930,24.414,12.695,12.695,-1000.000,0
8783.814,35.156,19.043,17.578,25.391,-526.855,0
8783.818,56.152,16.602,15.137,50.781,-914.551,0
8783.822,25.391,20.020,16.602,40.527,485.352,0
8783.826,-13.184,25.391,33.203,8.301,-1000.000,0
8783.830,3.418,27.832,36.133,12.207,-1000.000,0
8783.833,46.387,30.762,31.738,47.363,434.570,0
8783.837,37.598,24.902,25.391,45.898,998.535,0
8783.841,-0.977,23.438,25.391,15.137,-495.117,0
8783.845,14.648,29.297,21.484,7.812,-1000.000,0
8783.849,55.176,31.250,17.090,27.832,-106.445,0
8783.853,39.551,34.180,25.391,35.645,-804.199,0
8783.857,6.836,30.273,29.785,32.227,117.676,0
8783.861,15.625,19.531,22.461,23.438,-1000.000,0
8783.865,41.504,24.902,20.020,36.621,-257.324,0
8783.869,51.270,22.949,26.855,51.758,-803.711,0
8783.873,17.578,13.184,20.996,32.227,279.785,0
8783.876,-14.160,21.973,12.207,2.930,-1000.000,0
8783.880,12.695,28.320,16.602,6.836,-662.109,0
8783.884,44.434,29.297,25.879,41.016,961.426,0
8783.888,24.414,25.391,30.273,54.199,617.676,0
8783.892,1.465,18.555,27.344,7.812,-918.945,0
8783.896,14.648,21.973,20.996,3.418,-1000.000,0
8783.900,50.781,24.414,29.785,56.641,255.859,0
8783.904,42.969,22.949,33.691,78.613,-880.371,0
8783.908,2.930,21.973,24.902,34.180,-280.762,0
8783.912,10.254,22.461,26.855,6.348,-1000.000,0
8783.916,43.945,30.273,23.438,43.945,-161.621,0
8783.919,47.852,21.484,33.691,75.195,-798.340,0
8783.923,22.949,17.090,42.969,45.410,216.309,0
8783.927,0.977,20.020,29.785,9.766,-1000.000,0
8783.931,22.461,10.742,24.414,29.785,-324.707,0
8783.935,45.410,14.648,22.461,55.664,-818.359,0
8783.939,25.879,25.879,28.809,38.086,333.984,0
8783.943,-13.672,25.391,28.809,2.930,-1000.000,0
8783.947,1.465,23.438,22.949,7.812,-768.066,0
8783.951,37.109,27.344,20.996,46.387,827.637,0
8783.955,30.762,34.668,20.020,58.594,777.344,0
8783.958,0.488,28.320,25.391,25.391,-773.438,0
8783.962,1.465,16.113,33.203,3.906,-1000.000,0
8783.966,32.715,17.578,40.527,37.109,127.441,0
8783.970,39.551,25.391,40.527,60.059,-811.523,0
8783.974,7.812,38.574,32.715,26.367,-96.680,0
8783.978,-5.859,32.227,27.344,0.000,-1000.000,0
8783.982,34.180,20.508,29.785,27.344,-192.383,0
8783.986,50.781,31.738,30.273,62.012,-794.922,0
8783.990,18.555,35.645,18.555,39.062,261.719,0
8783.994,0.488,39.062,21.484,7.324,-1000.000,0
8783.998,25.879,38.086,19.043,30.762,-421.387,0
8784.001,58.105,26.367,14.160,59.082,-854.980,0
8784.005,46.387,18.066,29.297,51.758,428.711,0
8784.009,10.742,18.555,42.969,22.949,-1000.000,0
8784.013,28.809,28.809,38.086,27.344,-907.227,0
8784.017,53.711,34.180,37.598,49.316,623.535,0
8784.021,38.574,32.715,32.227,44.922,917.969,0
8784.025,15.137,37.109,23.438,10.254,-609.863,0
8784.029,24.414,32.227,20.508,0.977,-1000.000,0
8784.033,50.781,26.367,19.531,40.039,-10.742,0
8784.037,38.086,38.574,24.414,56.641,-793.945,0
8784.041,5.371,42.480,18.555,28.809,47.363,0
8784.044,1.953,29.297,19.043,11.719,-1000.000,0
8784.048,40.039,27.344,24.414,32.227,-208.984,0
8784.052,49.316,31.738,21.484,62.500,-791.504,0
8784.056,18.555,32.227,8.301,41.992,272.949,0
8784.060,-3.418,37.598,11.230,4.883,-1000.000,0
8784.064,31.738,30.273,30.273,22.461,-534.668,0
8784.068,59.570,31.250,41.992,55.664,-921.387,0
8784.072,16.113,33.691,40.039,55.176,542.969,0
8784.076,-2.930,27.832,33.203,19.531,-981.445,0
