timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
12794.018,4.883,-970.215,27.344,20.020,16.113,0
12794.022,9.766,-970.215,0.000,6.836,49.316,0
12794.026,8.301,-970.215,-1.465,-0.977,52.734,0
12794.030,0.977,-970.215,9.766,2.441,3.418,0
12794.034,3.906,-970.215,19.043,10.742,16.602,0
12794.037,11.719,-970.215,26.855,22.949,-0.977,0
12794.041,30.273,-970.215,41.504,38.574,-49.316,0
12794.045,41.992,-970.215,52.246,38.086,-21.484,0
12794.049,23.438,-970.215,51.270,35.645,40.527,0
12794.053,28.809,-970.215,38.086,34.180,33.203,0
12794.057,40.039,-970.215,30.273,20.508,38.574,0
12794.061,25.879,-970.215,29.297,17.090,55.664,0
12794.065,14.648,-970.215,34.180,31.250,17.578,0
12794.069,15.137,-970.215,37.598,29.785,26.855,0
12794.073,25.391,-970.215,15.625,15.625,41.504,0
12794.076,-1.953,-970.215,8.301,0.000,0.977,0
12794.080,-19.531,-970.215,9.766,-14.160,-12.207,0
12794.084,-19.043,-970.215,10.254,-18.066,6.836,0
12794.088,-10.254,-970.215,30.762,-6.348,36.621,0
12794.092,2.930,-970.215,38.574,-7.324,43.457,0
12794.096,-5.371,-970.215,33.691,-0.488,53.223,0
12794.100,3.418,-970.215,30.273,16.113,33.203,0
12794.104,10.254,-970.215,26.855,9.766,-31.250,0
12794.108,14.160,-970.215,34.668,2.930,-33.691,0
12794.112,16.113,-970.215,33.691,19.531,56.641,0
12794.116,10.742,-970.215,24.902,25.879,82.520,0
12794.119,19.531,-970.215,23.926,31.250,10.254,0
12794.123,29.785,-970.215,44.922,33.203,19.043,0
12794.127,40.527,-970.215,58.105,44.434,83.984,0
12794.131,20.020,-970.215,34.668,34.180,45.410,0
12794.135,-5.371,-970.215,22.461,13.672,-14.648,0
12794.139,8.301,-970.215,25.391,22.461,24.414,0
12794.143,20.508,-970.215,28.320,27.832,53.711,0
12794.147,13.184,-970.215,31.250,28.320,51.758,0
12794.151,26.367,-970.215,28.809,35.156,27.344,0
12794.155,25.879,-970.215,12.695,33.203,-4.883,0
12794.159,20.020,-970.215,6.836,24.902,19.043,0
12794.162,26.367,-970.215,13.184,25.879,74.707,0
12794.166,23.438,-970.215,18.555,34.180,75.195,0
12794.170,6.348,-970.215,17.090,21.484,64.453,0
12794.174,-4.395,-970.215,19.531,13.184,36.621,0
12794.178,-1.465,-970.215,27.832,23.438,-5.859,0
12794.182,-6.836,-970.215,26.855,17.090,21.973,0
12794.186,-2.930,-970.215,29.297,14.648,36.621,0
12794.190,8.301,-970.215,40.527,11.719,18.066,0
12794.194,-12.207,-970.215,32.715,-4.883,27.832,0
12794.198,-13.672,-970.215,33.203,-3.418,56.641,0
12794.201,-6.348,-970.215,32.227,3.418,20.996,0
12794.205,-13.184,-970.215,2.930,4.883,-65.430,0
12794.209,-10.742,-970.215,-3.418,3.418,-41.016,0
12794.213,17.578,-970.215,22.461,10.742,-7.812,0
12794.217,23.926,-970.215,33.203,23.926,-25.391,0
12794.221,14.160,-970.215,21.973,20.996,32.715,0
12794.225,22.461,-970.215,23.438,20.508,60.547,0
12794.229,14.648,-970.215,25.879,22.949,43.945,0
12794.233,17.090,-970.215,29.785,22.461,-7.812,0
12794.237,14.160,-970.215,31.738,17.090,-32.715,0
12794.241,21.484,-970.215,44.922,28.320,6.836,0
