timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
8057.341,-56.641,49.805,48.340,-204.102,-1000.000,0
8057.345,-3.418,35.156,37.109,-41.504,20.996,0
8057.349,80.566,23.438,24.902,205.566,-816.895,0
8057.353,36.621,31.250,37.598,87.891,162.109,0
8057.356,-55.176,49.316,54.688,-185.547,-1000.000,0
8057.360,-38.086,44.434,47.363,-128.418,-382.324,0
8057.364,57.129,28.809,28.320,153.320,-933.105,0
8057.368,75.195,29.297,25.879,167.480,523.926,0
8057.372,-23.926,42.969,43.945,-113.281,-965.820,0
8057.376,-48.828,47.363,46.875,-167.480,-733.398,0
8057.380,42.969,29.297,24.414,97.656,687.500,0
8057.384,98.633,24.414,22.461,227.539,881.348,0
8057.388,17.090,38.086,38.574,-37.109,-527.832,0
8057.392,-49.316,44.922,39.062,-209.473,-975.586,0
8057.395,28.320,41.016,30.273,14.648,301.270,0
8057.399,113.281,30.762,25.879,231.445,-889.648,0
8057.403,49.316,38.086,39.062,41.992,-83.496,0
8057.407,-49.316,47.852,50.781,-193.359,-1000.000,0
8057.411,-10.254,36.621,40.039,-50.293,-55.176,0
8057.415,86.914,24.902,28.320,212.891,-808.105,0
8057.419,63.965,25.879,39.062,125.977,256.836,0
8057.423,-33.203,37.109,54.688,-153.320,-1000.000,0
8057.427,-27.832,42.969,50.781,-114.258,-490.234,0
8057.431,63.477,30.762,33.691,173.828,978.027,0
8057.435,77.637,27.344,31.738,197.266,634.766,0
8057.438,-19.531,40.039,46.387,-103.027,-861.328,0
8057.442,-44.434,40.527,43.457,-185.547,-804.199,0
8057.446,45.898,31.738,30.762,84.961,581.055,0
8057.450,102.539,23.438,23.926,243.164,958.496,0
8057.454,17.578,32.715,38.574,-9.277,-392.090,0
8057.458,-46.875,47.363,59.082,-188.477,-1000.000,0
8057.462,29.785,36.133,45.410,22.949,218.750,0
8057.466,109.863,25.391,24.902,250.488,-843.262,0
8057.470,49.316,38.086,35.156,73.242,22.461,0
8057.474,-49.316,49.805,49.805,-181.641,-1000.000,0
8057.478,-11.230,39.062,40.039,-53.711,-159.180,0
8057.481,91.797,22.461,21.484,230.957,-819.336,0
8057.485,76.172,30.273,26.855,175.293,366.211,0
8057.489,-31.738,42.969,44.434,-122.070,-1000.000,0
8057.493,-36.621,39.062,44.434,-126.953,-532.227,0
8057.497,71.777,22.949,26.367,158.691,921.387,0
8057.501,108.398,17.578,18.555,242.188,758.789,0
8057.505,9.277,42.969,36.621,-35.645,-707.520,0
8057.509,-42.480,50.781,42.480,-156.250,-866.211,0
8057.513,40.527,32.715,23.926,95.703,489.746,0
8057.517,114.746,27.832,17.578,271.484,-971.191,0
8057.520,40.527,39.551,29.297,26.855,-260.742,0
8057.524,-31.738,48.340,35.645,-188.965,-1000.000,0
8057.528,32.227,36.621,30.762,1.465,120.605,0
8057.532,127.930,23.438,21.973,259.277,-821.777,0
8057.536,73.242,29.785,30.273,112.793,95.703,0
8057.540,-41.504,41.992,46.875,-176.758,-1000.000,0
8057.544,-8.301,42.480,34.668,-98.633,-287.109,0
8057.548,98.145,27.832,14.648,195.312,-869.141,0
8057.552,96.191,23.438,21.484,180.176,450.684,0
8057.556,-17.578,38.574,40.527,-123.047,-1000.000,0
8057.560,-37.109,41.016,42.480,-160.645,-664.062,0
8057.563,64.453,29.785,26.367,130.371,782.715,0
8057.567,111.816,25.391,18.066,238.770,830.078,0
8057.571,13.672,35.645,40.527,-54.199,-622.070,0
8057.575,-55.176,36.621,52.246,-200.195,-915.527,0
8057.579,34.180,26.367,33.691,61.523,399.902,0
8057.583,114.746,17.578,21.973,267.578,-906.250,0
8057.587,40.527,26.367,35.645,41.992,-128.906,0
8057.591,-45.410,39.062,49.805,-188.965,-1000.000,0
8057.595,12.695,37.598,38.086,-14.648,21.973,0
8057.599,121.582,27.344,21.973,254.883,-801.758,0
8057.603,78.125,32.715,22.461,141.602,203.613,0
8057.606,-35.156,44.922,33.691,-139.648,-1000.000,0
8057.610,-27.344,37.109,39.551,-75.195,-395.020,0
8057.614,71.289,25.391,28.320,227.539,-937.500,0
8057.618,88.867,25.391,33.203,236.816,561.523,0
8057.622,-18.066,37.109,50.781,-78.125,-938.965,0
8057.626,-50.781,41.992,52.734,-137.695,-736.816,0
8057.630,47.363,28.809,38.574,156.738,681.152,0
8057.634,103.516,25.879,34.180,298.340,925.293,0
8057.638,19.531,38.574,49.805,5.371,-465.332,0
8057.642,-36.621,47.363,57.129,-186.523,-976.562,0
8057.645,35.645,38.574,42.480,44.434,299.805,0
8057.649,114.258,26.367,30.762,268.555,-875.977,0
8057.653,48.828,37.109,46.875,64.941,-52.734,0
8057.657,-42.969,47.852,57.129,-199.707,-1000.000,0
8057.661,0.488,33.203,43.457,-54.688,-99.121,0
8057.665,100.098,20.996,27.832,241.699,-808.105,0
8057.669,76.172,25.879,35.645,153.320,284.668,0
8057.673,-33.691,41.992,52.246,-157.715,-1000.000,0
8057.677,-28.320,42.480,44.434,-136.230,-462.891,0
8057.681,80.566,25.391,24.414,161.133,996.582,0
8057.685,112.793,28.809,25.879,210.449,674.316,0
8057.688,7.324,45.410,43.945,-89.355,-812.988,0
8057.692,-39.551,48.340,45.410,-182.129,-817.383,0
8057.696,45.410,32.715,27.832,102.051,565.430,0
8057.700,113.281,21.973,15.625,273.438,987.793,0
8057.704,29.297,37.109,28.320,8.301,-345.703,0
8057.708,-51.758,49.805,43.457,-195.312,-1000.000,0
8057.712,20.020,40.039,26.367,13.672,198.242,0
8057.716,115.723,29.297,6.348,261.230,-837.402,0
8057.720,55.176,36.133,28.320,98.633,28.809,0
8057.724,-52.246,46.875,48.828,-175.781,-1000.000,0
8057.728,-8.301,40.527,40.039,-57.129,-174.805,0
8057.731,101.562,22.949,20.996,244.141,-821.289,0
8057.735,87.891,24.902,22.461,192.383,391.602,0
8057.739,-31.738,39.551,42.969,-127.930,-1000.000,0
8057.743,-40.527,42.480,43.945,-143.555,-597.656,0
8057.747,72.266,32.227,24.902,149.414,869.141,0
8057.751,114.746,27.832,20.020,237.793,759.766,0
8057.755,7.812,43.457,39.551,-47.363,-718.750,0
8057.759,-48.828,43.945,43.457,-169.434,-871.094,0
8057.763,46.875,29.785,24.414,87.402,468.750,0
8057.767,129.883,28.320,16.113,271.484,-946.289,0
8057.770,43.945,40.039,35.156,31.250,-217.773,0
8057.774,-47.363,49.316,45.410,-198.242,-1000.000,0
8057.778,26.367,35.645,27.832,-11.719,118.164,0
8057.782,130.371,22.461,13.184,259.766,-810.059,0
8057.786,74.707,34.668,23.438,112.305,134.766,0
8057.790,-37.109,43.457,42.969,-182.617,-1000.000,0
8057.794,-14.160,34.668,41.504,-101.074,-313.477,0
8057.798,89.355,23.438,20.996,192.871,-884.766,0
8057.802,94.727,28.320,17.578,186.523,499.512,0
8057.806,-20.996,45.410,37.598,-119.141,-993.652,0
8057.810,-48.828,43.457,41.016,-168.945,-674.316,0
8057.813,56.641,26.367,27.344,112.793,775.391,0
8057.817,105.469,16.602,19.531,232.422,845.215,0
8057.821,2.930,32.227,35.156,-31.738,-587.402,0
8057.825,-64.941,45.410,49.316,-170.410,-955.078,0
8057.829,24.414,32.715,36.133,82.520,342.773,0
8057.833,109.375,23.438,27.344,289.551,-906.250,0
8057.837,32.715,34.668,39.062,53.223,-130.859,0
8057.841,-54.199,43.457,52.734,-203.613,-1000.000,0
8057.845,-0.977,34.180,43.945,-56.641,14.160,0
8057.849,103.027,20.020,24.902,219.727,-798.828,0
8057.853,73.730,26.855,32.227,116.699,232.422,0
8057.856,-37.598,41.992,48.828,-194.824,-1000.000,0
8057.860,-37.598,33.691,46.387,-147.949,-436.035,0
8057.864,67.383,17.578,26.855,152.832,-958.984,0
8057.868,89.844,21.973,22.461,175.293,574.219,0
8057.872,-29.297,39.062,43.945,-142.578,-934.082,0
8057.876,-63.477,43.945,47.363,-208.984,-736.328,0
8057.880,47.852,32.227,34.180,91.309,677.246,0
8057.884,110.840,25.391,27.344,227.051,933.594,0
8057.888,15.625,37.598,44.922,-47.852,-443.359,0
8057.892,-60.547,41.992,62.988,-222.168,-996.094,0
8057.895,18.555,28.809,45.410,8.789,270.508,0
8057.899,111.328,19.531,22.461,245.605,-871.094,0
8057.903,45.898,29.785,30.762,54.199,-41.016,0
8057.907,-51.270,42.969,45.898,-208.984,-1000.000,0
8057.911,-1.953,38.086,38.086,-68.848,-132.812,0
8057.915,99.609,28.809,20.020,218.750,-812.012,0
8057.919,73.242,31.250,29.297,144.043,324.219,0
8057.923,-38.086,44.922,56.641,-153.320,-1000.000,0
8057.927,-41.016,45.410,54.688,-134.277,-504.395,0
8057.931,71.289,28.809,34.180,160.156,961.914,0
8057.935,105.957,26.367,33.691,225.586,692.871,0
8057.938,-0.977,44.922,53.711,-77.637,-787.598,0
8057.942,-47.363,47.852,51.270,-192.871,-855.957,0
8057.946,44.922,34.180,33.203,83.008,513.184,0
8057.950,108.398,24.902,27.344,260.742,981.445,0
8057.954,19.531,42.480,41.992,5.859,-346.680,0
8057.958,-59.570,53.711,53.223,-200.684,-1000.000,0
8057.962,12.207,41.504,41.504,0.488,149.414,0
8057.966,114.258,32.715,26.367,250.488,-824.219,0
8057.970,62.988,37.598,37.598,88.867,66.895,0
8057.974,-42.480,52.246,54.199,-191.895,-1000.000,0
8057.978,-11.719,49.316,42.969,-85.938,-215.332,0
8057.981,93.262,27.344,24.414,208.496,-836.914,0
8057.985,91.797,33.691,28.320,173.828,409.668,0
8057.989,-15.137,51.270,45.410,-131.836,-1000.000,0
8057.993,-32.227,47.852,46.387,-148.926,-647.461,0
8057.997,68.848,32.227,28.809,150.879,817.871,0
8058.001,109.863,26.855,22.461,241.211,773.438,0
8058.005,7.324,42.480,39.551,-55.664,-701.172,0
8058.009,-41.992,46.875,48.828,-188.965,-897.949,0
8058.013,47.852,30.273,38.086,67.383,429.688,0
8058.017,119.141,24.414,25.391,261.230,-937.988,0
8058.020,31.738,37.598,32.715,23.438,-195.801,0
8058.024,-60.059,48.340,45.410,-207.031,-1000.000,0
8058.028,4.883,41.016,40.527,-15.625,73.730,0
8058.032,104.492,28.320,29.297,253.906,-804.688,0
8058.036,56.641,34.180,31.738,113.281,166.992,0
8058.040,-53.223,46.387,48.340,-176.270,-1000.000,0
8058.044,-30.273,40.039,45.410,-102.539,-352.539,0
8058.048,80.566,24.414,26.855,197.754,-899.414,0
8058.052,89.844,23.438,27.832,200.195,494.141,0
8058.056,-16.602,41.992,47.852,-115.234,-998.535,0
8058.060,-39.062,45.898,51.758,-174.805,-699.707,0
8058.063,56.152,31.738,34.180,111.328,731.445,0
8058.067,106.445,28.320,21.484,232.910,879.395,0
8058.071,7.812,36.133,37.109,-50.293,-541.504,0
8058.075,-54.688,43.457,50.781,-210.449,-955.078,0
8058.079,28.809,33.203,33.691,51.758,341.309,0
8058.083,111.816,21.973,22.461,286.621,-901.367,0
8058.087,40.039,34.180,40.039,64.941,-101.074,0
8058.091,-59.082,42.969,54.199,-195.312,-1000.000,0
8058.095,-4.395,37.598,43.945,-41.504,-81.055,0
8058.099,97.168,25.391,28.320,240.234,-809.082,0
8058.103,66.895,29.297,36.621,139.160,242.676,0
8058.106,-40.039,49.805,52.734,-168.945,-1000.000,0
8058.110,-36.621,44.434,46.387,-132.324,-439.941,0
8058.114,64.453,27.344,29.297,178.223,-976.562,0
8058.118,88.867,28.320,26.855,221.680,621.094,0
8058.122,-14.160,37.109,44.922,-83.008,-877.441,0
8058.126,-52.734,40.039,49.316,-159.180,-781.738,0
8058.130,41.504,27.832,34.668,124.023,625.000,0
8058.134,98.145,18.066,21.973,274.902,944.336,0
8058.138,3.418,36.133,34.668,1.465,-417.480,0
8058.142,-72.266,46.875,52.734,-187.988,-1000.000,0
8058.145,-1.465,35.156,41.992,41.016,201.660,0
8058.149,92.773,23.926,27.832,282.227,-854.004,0
8058.153,39.551,30.762,35.156,94.727,-11.230,0
8058.157,-60.547,47.363,49.316,-171.387,-1000.000,0
8058.161,-20.020,41.016,45.898,-41.016,-146.973,0
8058.165,95.703,23.926,28.320,250.488,-814.453,0
8058.169,76.660,23.926,31.250,181.641,357.422,0
8058.173,-43.945,37.109,48.828,-129.883,-1000.000,0
8058.177,-49.316,40.039,43.945,-124.023,-540.039,0
8058.181,61.523,26.855,27.344,166.504,929.688,0
8058.185,101.562,23.926,23.926,229.980,728.516,0
8058.188,-5.371,40.527,40.527,-62.988,-747.070,0
8058.192,-47.852,44.434,50.781,-174.805,-872.070,0
8058.196,48.340,33.203,35.645,83.984,487.793,0
8058.200,110.840,26.855,18.555,255.371,-998.535,0
8058.204,24.414,33.203,32.227,3.906,-304.688,0
8058.208,-58.105,42.480,47.852,-220.215,-1000.000,0
8058.212,0.000,33.691,34.180,-25.391,109.375,0
8058.216,98.145,25.391,20.020,240.723,-818.359,0
8058.220,52.246,37.109,30.762,83.008,98.633,0
8058.224,-58.105,45.410,42.480,-201.172,-1000.000,0
8058.228,-27.344,40.527,34.668,-105.469,-252.441,0
8058.231,86.426,30.762,21.484,192.871,-850.098,0
8058.235,86.426,29.785,28.320,171.387,448.730,0
8058.239,-31.738,42.969,49.805,-141.113,-1000.000,0
8058.243,-55.664,43.457,46.875,-174.316,-657.227,0
8058.247,56.641,27.344,25.879,122.070,801.758,0
8058.251,112.793,23.438,25.879,234.375,803.711,0
8058.255,5.859,40.039,50.293,-60.547,-648.926,0
8058.259,-70.312,45.898,57.129,-212.402,-935.547,0
8058.263,7.812,29.297,34.668,45.410,372.070,0
8058.267,101.074,24.902,21.973,258.789,-918.945,0
8058.270,27.832,39.062,40.039,41.504,-158.691,0
8058.274,-58.594,47.363,52.246,-190.918,-1000.000,0
8058.278,2.930,41.016,37.598,-9.766,40.039,0
8058.282,96.680,26.855,26.855,270.020,-800.781,0
8058.286,56.152,29.785,33.691,142.090,195.312,0
8058.290,-47.852,46.875,44.922,-162.109,-1000.000,0
8058.294,-31.250,43.945,40.527,-109.375,-359.863,0
8058.298,76.172,32.227,22.461,185.059,-909.180,0
8058.302,92.773,30.762,26.367,197.754,535.156,0
8058.306,-18.555,41.992,45.898,-114.746,-954.590,0
8058.310,-50.781,48.340,48.340,-180.176,-744.629,0
