timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
6209.232,90.820,30.273,40.039,62.500,-37.598,1
6209.236,76.172,24.902,33.691,91.309,15.625,0
6209.240,125.977,37.109,22.461,106.445,82.520,0
6209.244,91.797,61.523,30.273,80.078,38.086,0
6209.247,43.945,52.246,29.297,54.199,-57.129,0
6209.251,91.309,27.344,32.227,64.453,-36.133,0
6209.255,103.027,65.918,21.484,76.660,38.574,0
6209.259,122.559,39.062,18.066,74.707,32.715,0
6209.263,109.863,44.922,31.738,67.871,-19.531,0
6209.267,77.148,34.668,30.762,59.570,-1.953,0
6209.271,114.746,-4.395,20.508,76.172,53.711,0
6209.275,109.375,33.691,15.625,69.336,55.664,0
6209.279,46.875,45.898,18.066,48.340,-0.977,0
6209.283,61.035,52.246,7.812,50.293,-26.855,0
6209.287,61.523,71.777,0.488,28.809,24.902,0
6209.290,101.074,14.160,34.668,52.734,70.801,0
6209.294,91.797,28.809,24.414,79.590,65.430,0
6209.298,41.504,58.594,5.859,58.105,20.996,0
6209.302,89.355,55.664,3.906,45.410,19.043,0
6209.306,119.629,39.062,13.672,63.477,53.711,0
6209.310,77.637,23.438,25.879,63.965,58.105,0
6209.314,59.082,20.996,33.203,52.734,30.273,0
6209.318,37.598,58.105,19.043,46.387,-9.277,0
6209.322,31.738,61.523,8.789,37.598,19.043,0
6209.326,83.008,25.879,16.602,61.035,53.711,0
6209.330,60.059,41.992,31.250,48.828,22.461,0
6209.333,43.945,38.086,33.203,26.855,-4.883,0
6209.337,70.312,57.617,5.859,55.176,65.918,0
6209.341,77.148,73.242,8.789,66.406,85.938,0
6209.345,50.781,29.297,21.484,64.941,45.898,0
6209.349,43.457,34.180,19.531,48.340,-8.301,0
6209.353,54.199,50.781,21.484,39.062,10.742,0
6209.357,94.238,29.785,22.949,40.527,88.867,0
6209.361,34.180,12.695,33.203,31.250,44.434,0
6209.365,-48.828,24.414,32.227,36.133,6.836,0
6209.369,63.965,12.695,23.926,68.848,5.371,0
6209.372,71.777,24.902,15.137,30.762,55.664,0
6209.376,-23.926,85.449,-2.441,-37.109,88.867,0
6209.380,47.363,32.715,21.973,6.836,5.371,0
6209.384,113.770,-1.953,32.715,52.246,-20.020,0
6209.388,72.266,42.480,23.438,33.203,60.547,0
6209.392,54.688,40.039,30.762,49.805,77.148,0
6209.396,66.895,29.297,33.691,60.059,6.348,0
6209.400,57.617,38.574,23.438,17.090,-17.578,0
6209.404,85.449,36.621,7.812,35.156,34.668,0
6209.408,95.215,22.461,22.949,68.848,72.266,0
6209.412,43.457,26.367,24.414,32.227,53.711,0
6209.415,52.734,42.969,17.578,38.574,-0.977,0
6209.419,93.750,30.762,23.438,80.566,11.719,0
6209.423,56.641,37.598,23.438,57.617,44.922,0
6209.427,39.062,29.297,36.133,50.293,32.227,0
6209.431,45.898,34.668,30.273,62.012,41.016,0
6209.435,52.246,60.547,9.766,42.480,6.348,0
6209.439,96.680,39.062,23.438,64.941,28.809,0
6209.443,81.543,36.621,39.062,68.359,63.965,0
6209.447,62.012,25.879,37.109,65.918,57.129,0
6209.451,27.832,27.832,31.250,64.453,46.387,0
6209.455,20.508,48.340,17.090,30.273,44.922,0
6209.458,75.195,32.227,17.090,39.062,40.039,0
6209.462,32.227,45.898,23.438,65.430,27.832,0
6209.466,33.203,44.434,28.320,66.895,16.602,0
6209.470,55.664,41.016,35.156,53.711,41.992,0
6209.474,52.246,29.785,35.156,61.523,75.195,0
6209.478,50.781,19.531,27.344,56.152,40.039,0
6209.482,25.879,28.809,33.203,42.480,24.414,0
6209.486,34.668,17.578,35.645,47.852,46.875,0
6209.490,54.688,31.250,22.949,52.734,54.688,0
6209.494,41.016,28.809,28.320,59.570,31.250,0
6209.497,18.066,29.297,31.738,36.133,19.043,0
6209.501,17.090,29.297,31.250,25.879,5.371,0
6209.505,55.176,30.762,33.203,44.922,26.855,0
6209.509,55.664,36.621,35.156,55.176,80.078,0
6209.513,16.113,23.926,44.434,56.152,29.297,0
6209.517,20.508,29.297,39.551,28.320,-5.371,0
6209.521,75.684,37.109,27.344,26.367,66.406,0
6209.525,87.891,37.109,32.227,40.039,95.703,0
6209.529,39.062,32.227,31.738,16.113,37.598,0
6209.533,24.414,27.832,32.715,30.762,-39.062,0
6209.537,57.129,39.551,37.109,50.293,-1.465,0
6209.540,28.809,30.762,39.551,30.273,55.176,0
6209.544,8.789,26.855,34.180,33.691,13.184,0
6209.548,13.672,28.809,37.598,46.875,-20.996,0
6209.552,15.625,23.926,39.551,55.664,-8.301,0
6209.556,41.016,28.320,39.062,57.617,33.691,0
6209.560,24.902,32.227,39.062,53.711,32.227,0
6209.564,-4.883,29.785,40.527,37.598,-13.184,0
6209.568,0.000,33.203,38.086,45.410,-15.137,0
6209.572,43.945,33.203,40.039,96.680,24.902,0
6209.576,55.664,30.762,41.504,82.520,30.273,0
6209.580,-11.230,34.180,30.762,1.953,3.418,0
6209.583,-28.809,32.715,26.855,1.465,-10.254,0
6209.587,18.555,34.668,28.320,37.109,30.273,0
6209.591,48.340,38.086,28.320,21.973,39.062,0
6209.595,20.508,31.250,34.668,14.160,2.930,0
6209.599,-5.859,26.367,41.016,45.898,10.254,0
6209.603,18.555,29.297,41.016,78.613,22.461,0
6209.607,42.969,32.227,37.109,50.781,31.250,0
6209.611,21.973,33.691,30.273,0.488,44.922,0
6209.615,-3.418,29.297,31.738,-0.488,0.488,0
6209.619,21.484,29.297,33.691,13.672,-13.672,0
6209.622,56.152,38.574,31.250,27.344,46.387,0
6209.626,23.438,37.109,34.180,21.973,64.941,0
6209.630,12.207,36.133,34.180,16.113,3.418,0
6209.634,39.551,38.574,36.133,37.598,-36.133,0
6209.638,34.180,40.039,41.992,54.199,1.953,0
6209.642,33.203,40.527,30.762,23.926,39.551,0
6209.646,17.090,33.691,27.344,7.812,15.625,0
6209.650,4.883,31.738,40.039,25.879,0.000,0
6209.654,27.344,31.738,38.574,22.461,49.316,0
6209.658,41.504,32.715,36.133,44.922,76.660,0
6209.662,27.832,32.227,47.363,75.195,23.438,0
6209.665,11.719,32.227,44.922,29.297,-10.742,0
6209.669,8.789,28.320,38.086,-3.418,12.695,0
6209.673,36.133,25.391,43.457,31.250,46.387,0
6209.677,65.430,31.250,43.945,48.828,52.246,0
6209.681,59.082,34.668,42.969,50.781,25.879,0
6209.685,36.133,31.250,41.504,42.969,21.484,0
6209.689,44.434,27.344,36.133,35.156,63.477,0
6209.693,39.551,27.344,39.062,46.387,67.871,0
6209.697,29.785,30.273,41.504,46.875,43.945,0
6209.701,46.875,35.645,42.480,53.223,32.715,0
6209.705,68.359,36.133,48.340,70.312,44.922,0
6209.708,68.359,35.645,47.852,56.641,48.340,0
6209.712,41.504,37.109,46.387,53.223,35.156,0
6209.716,27.832,36.621,49.805,58.105,22.461,0
6209.720,59.570,37.109,51.758,66.406,37.109,0
6209.724,79.102,39.062,49.316,61.523,65.918,0
6209.728,60.547,42.480,45.410,35.156,20.020,0
6209.732,38.086,42.480,46.875,38.574,6.836,0
6209.736,62.012,40.527,49.316,55.664,41.504,0
6209.740,83.496,40.527,47.363,46.875,67.871,0
6209.744,64.453,41.016,42.480,33.691,92.285,0
6209.747,30.273,41.016,40.039,23.438,62.012,0
6209.751,24.902,36.621,48.340,40.527,42.969,0
6209.755,66.406,37.109,51.758,57.129,68.848,0
6209.759,75.195,39.062,46.387,48.340,48.828,0
6209.763,60.547,42.480,48.340,53.711,22.949,0
6209.767,37.598,41.992,50.293,50.293,-13.184,0
6209.771,48.340,40.527,44.922,23.926,20.508,0
6209.775,67.383,40.039,44.434,21.484,75.684,0
6209.779,45.410,39.062,47.852,38.574,53.223,0
6209.783,37.598,40.039,47.852,50.781,22.461,0
6209.787,41.992,37.109,46.875,57.617,27.344,0
