timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1553809205.333,48.340,35.645,24.414,57.617,19.531,0
1553809205.337,36.133,37.598,23.438,58.594,65.430,0
1553809205.341,20.508,40.039,22.461,53.711,66.406,0
1553809205.345,41.992,35.156,24.414,56.641,41.504,0
1553809205.348,23.926,31.738,26.367,47.852,42.480,0
1553809205.352,2.930,32.715,21.973,65.918,71.289,0
1553809205.356,-0.488,30.273,20.020,64.941,26.855,0
1553809205.360,-0.977,33.203,21.484,42.969,-26.367,0
1553809205.364,6.836,38.086,23.438,51.270,19.043,0
1553809205.368,7.812,33.203,25.391,57.129,-9.277,0
1553809205.372,29.785,32.715,28.320,58.105,-0.977,0
1553809205.376,47.363,36.133,27.344,53.223,76.660,0
1553809205.380,17.578,31.738,27.344,62.500,86.426,0
1553809205.384,30.273,20.508,28.320,67.383,37.598,0
1553809205.388,39.062,20.020,25.391,44.922,52.246,0
1553809205.391,-8.789,32.227,22.461,53.711,62.988,0
1553809205.395,0.488,34.668,23.438,57.617,50.781,0
1553809205.399,46.387,34.668,27.344,58.594,36.133,0
1553809205.403,54.688,39.062,22.949,52.246,20.996,0
1553809205.407,13.672,32.715,20.996,53.223,40.527,0
1553809205.411,7.812,25.879,30.273,64.941,76.172,0
1553809205.415,9.277,23.926,27.832,62.012,60.059,0
1553809205.419,30.762,29.785,23.438,66.895,57.617,0
1553809205.423,55.176,39.551,23.438,74.219,47.363,0
1553809205.427,23.438,36.133,21.973,76.660,79.102,0
1553809205.430,6.348,30.762,22.949,70.801,88.379,0
1553809205.434,15.625,31.738,31.250,79.102,80.078,0
1553809205.438,28.809,30.273,34.668,77.148,70.312,0
1553809205.442,37.598,35.645,29.297,72.754,66.406,0
1553809205.446,43.945,39.062,27.832,76.660,65.918,0
1553809205.450,50.781,33.691,28.809,80.566,64.941,0
1553809205.454,43.457,30.762,28.320,81.055,41.504,0
1553809205.458,30.273,30.273,27.832,72.266,1.465,0
1553809205.462,20.020,32.715,24.414,71.777,41.504,0
1553809205.466,23.438,33.203,15.625,75.684,35.156,0
1553809205.470,34.180,36.621,18.066,84.961,52.734,0
1553809205.473,35.645,41.504,26.855,87.402,28.809,0
1553809205.477,53.711,42.480,28.320,78.125,19.043,0
1553809205.481,54.688,41.016,28.809,91.797,60.059,0
1553809205.485,19.531,43.457,27.344,84.961,-12.695,0
1553809205.489,8.789,42.480,26.367,79.590,-31.250,0
1553809205.493,27.832,36.133,29.297,80.078,28.809,0
1553809205.497,38.086,30.762,32.227,59.570,20.020,0
1553809205.501,24.902,29.785,31.738,55.176,39.551,0
1553809205.505,29.297,27.832,28.809,61.523,93.262,0
1553809205.509,42.969,24.902,23.926,64.453,32.715,0
1553809205.513,31.738,28.320,23.438,58.105,12.695,0
1553809205.516,23.438,32.227,25.879,54.688,68.359,0
1553809205.520,11.719,32.227,25.391,54.688,115.723,0
1553809205.524,6.836,31.250,27.344,62.988,39.551,0
1553809205.528,24.414,30.273,25.879,58.105,17.090,0
1553809205.532,23.438,29.297,23.438,29.297,82.520,0
1553809205.536,13.672,28.320,21.484,24.414,66.895,0
1553809205.540,26.855,28.809,22.949,35.156,18.555,0
1553809205.544,19.043,31.250,23.438,32.715,22.461,0
1553809205.548,1.953,23.926,20.508,21.484,36.621,0
1553809205.552,1.953,19.043,20.996,20.996,43.457,0
1553809205.555,19.531,31.738,21.973,21.484,24.414,0
1553809205.559,23.926,35.156,23.438,21.484,17.090,0
1553809205.563,27.344,37.598,21.484,25.879,41.504,0
1553809205.567,41.504,38.086,21.484,22.949,35.645,0
1553809205.571,16.602,35.156,20.996,3.906,39.551,0
1553809205.575,5.859,34.668,22.949,13.184,8.301,0
1553809205.579,20.996,29.785,25.879,26.855,38.086,0
1553809205.583,20.996,33.691,25.879,22.949,52.246,0
1553809205.587,14.648,38.574,26.855,28.809,68.359,0
1553809205.591,20.020,36.133,25.879,19.043,85.449,0
1553809205.595,19.531,36.133,26.855,5.859,51.758,0
1553809205.598,18.555,33.691,26.855,-1.465,54.688,0
1553809205.602,27.344,25.391,23.438,-13.184,28.809,0
1553809205.606,18.555,24.414,24.414,-7.324,23.438,0
1553809205.610,4.883,29.785,22.461,-1.953,20.996,0
1553809205.614,5.859,33.691,21.484,-1.465,-58.105,0
1553809205.618,3.906,39.062,21.484,-11.719,0.977,0
1553809205.622,26.855,41.992,20.020,-23.926,23.438,0
1553809205.626,39.062,40.527,24.414,-6.348,-7.324,0
1553809205.630,-1.465,36.133,30.762,0.977,71.289,0
1553809205.634,0.488,24.414,30.273,-15.137,97.168,0
1553809205.638,16.113,24.414,26.855,-20.508,59.570,0
1553809205.641,20.996,36.621,24.902,-12.695,24.902,0
1553809205.645,26.855,34.668,23.438,-11.719,62.500,0
1553809205.649,19.531,31.250,22.461,-8.789,37.109,0
1553809205.653,30.273,36.133,20.020,-8.789,36.621,0
1553809205.657,26.855,36.133,24.414,-12.695,44.434,0
1553809205.661,3.418,32.715,25.879,-11.719,9.277,0
1553809205.665,9.277,33.691,23.926,-16.602,31.738,0
1553809205.669,19.531,32.715,27.832,-9.766,24.902,0
1553809205.673,7.324,30.762,26.855,-8.789,7.324,0
1553809205.677,19.043,37.598,23.926,-15.625,24.414,0
1553809205.680,21.484,39.551,25.391,-14.160,48.828,0
1553809205.684,28.809,40.039,24.902,-18.066,35.156,0
1553809205.688,25.391,30.762,25.879,-8.301,38.086,0
1553809205.692,17.578,16.602,28.809,-5.371,37.598,0
1553809205.696,10.742,31.738,29.297,-4.883,41.504,0
1553809205.700,9.277,38.574,25.391,3.418,41.016,0
1553809205.704,8.301,29.785,23.926,-10.254,47.852,0
1553809205.708,10.742,26.367,26.367,-19.531,23.926,0
1553809205.712,5.859,22.949,24.414,-32.227,-42.480,0
