timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
11557.221,-74.707,49.316,56.152,47.363,-1000.000,0
11557.225,-33.203,41.992,42.480,39.551,-626.953,0
11557.229,119.629,20.020,13.184,21.484,805.176,0
11557.233,112.793,26.855,24.414,25.391,627.441,0
11557.237,-52.246,54.688,59.082,50.293,-847.656,0
11557.241,-63.477,48.340,52.734,50.781,-905.273,0
11557.244,78.613,20.020,24.414,31.250,404.785,0
11557.248,141.113,16.113,20.508,23.438,953.613,0
11557.252,-1.465,45.410,43.945,42.480,-395.508,0
11557.256,-71.289,53.711,48.340,51.758,-1000.000,0
11557.260,40.039,30.762,31.738,32.715,62.500,0
11557.264,151.855,15.625,20.020,16.602,-854.980,0
11557.268,31.250,36.621,44.922,35.645,49.805,0
11557.272,-87.402,47.852,57.617,48.340,-1000.000,0
11557.276,-4.395,27.832,34.668,33.203,-320.801,0
11557.280,139.160,8.301,10.742,12.695,-938.477,0
11557.284,81.055,29.785,29.785,25.391,375.488,0
11557.287,-64.453,55.664,56.152,42.480,-1000.000,0
11557.291,-30.273,46.875,45.410,37.109,-709.473,0
11557.295,112.793,20.020,17.578,18.555,701.660,0
11557.299,121.094,22.949,22.461,21.973,712.891,0
11557.303,-35.156,52.246,51.758,47.852,-749.023,0
11557.307,-67.871,48.828,49.805,42.969,-953.125,0
11557.311,65.918,20.020,24.902,17.578,321.289,0
11557.315,145.020,14.648,15.625,13.184,-978.516,0
11557.319,-0.488,44.434,47.852,35.156,-271.484,0
11557.323,-78.613,54.688,57.129,43.945,-1000.000,0
11557.326,31.738,38.574,29.785,25.391,-23.438,0
11557.330,151.367,24.414,6.348,5.859,-843.262,0
11557.334,46.387,41.016,31.738,26.855,139.648,0
11557.338,-82.520,53.711,58.105,45.410,-1000.000,0
11557.342,-16.113,36.621,41.504,28.809,-436.035,0
11557.346,125.977,16.602,12.695,10.742,986.328,0
11557.350,81.543,31.738,26.855,22.949,462.402,0
11557.354,-67.383,53.711,54.688,46.875,-1000.000,0
11557.358,-47.363,45.898,45.410,41.016,-782.227,0
11557.362,101.074,21.973,17.578,19.531,596.680,0
11557.366,130.859,20.508,18.066,16.113,802.246,0
11557.369,-21.973,44.922,44.434,36.621,-628.418,0
11557.373,-58.105,46.387,46.387,40.527,-1000.000,0
11557.377,64.453,26.367,24.414,21.973,233.398,0
11557.381,151.855,18.066,11.230,10.254,-921.875,0
11557.385,17.578,42.969,38.574,31.250,-152.832,0
11557.389,-75.195,53.711,55.664,42.969,-1000.000,0
11557.393,24.902,33.203,31.738,20.996,-117.676,0
11557.397,149.902,11.230,4.395,1.465,-853.516,0
11557.401,57.617,26.855,27.344,24.414,224.609,0
11557.405,-77.148,49.805,52.246,41.016,-1000.000,0
11557.409,-20.996,33.691,35.156,21.973,-541.016,0
