timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
15965.409,-14.648,29.785,30.273,-19.043,28.320,0
15965.413,-21.484,29.297,32.715,-36.621,87.402,0
15965.417,-18.066,30.273,35.645,-54.688,47.852,0
15965.421,-8.789,32.715,30.762,-39.062,42.480,0
15965.425,8.789,34.180,26.855,-11.230,79.590,0
15965.428,15.137,36.621,32.715,31.250,60.059,0
15965.432,-25.391,39.062,35.645,0.977,37.109,0
15965.436,-19.043,41.992,32.715,-39.062,36.621,0
15965.440,13.184,37.109,30.273,-23.438,44.434,0
15965.444,17.578,32.227,30.762,-11.719,47.852,0
15965.448,-9.277,34.180,34.180,-29.297,8.789,0
15965.452,-14.648,32.715,35.645,-30.273,-6.836,0
15965.456,3.906,30.762,37.109,3.906,48.828,0
15965.460,23.926,30.762,38.086,33.691,35.645,0
15965.464,-1.953,29.785,41.016,10.742,-2.930,0
15965.467,0.488,28.809,42.969,-22.461,43.457,0
15965.471,-0.488,22.949,44.434,-12.207,22.461,0
15965.475,-9.277,21.973,43.945,30.273,35.645,0
15965.479,-5.859,25.391,46.875,20.020,36.621,0
15965.483,-16.602,25.391,48.340,-4.883,-3.418,0
15965.487,-10.254,29.297,45.410,20.508,19.531,0
15965.491,2.930,34.668,37.109,4.883,19.531,0
15965.495,8.789,33.203,37.109,-20.020,22.461,0
15965.499,24.414,30.273,44.434,13.672,55.176,0
15965.503,8.301,30.762,44.434,-8.301,75.195,0
15965.507,34.180,29.297,40.039,-38.574,16.602,0
15965.510,80.566,28.809,37.109,25.391,-31.250,0
15965.514,5.371,30.273,42.969,19.043,34.180,0
15965.518,-4.883,31.738,46.875,-17.578,43.457,0
15965.522,21.484,29.297,43.945,-4.883,25.391,0
15965.526,14.648,27.344,43.945,26.367,45.898,0
15965.530,11.230,29.785,45.898,9.277,57.617,0
15965.534,10.742,30.273,47.852,-0.977,64.453,0
15965.538,24.414,28.809,46.875,9.766,18.066,0
